year,country_code,country_code_letter,HDI_value,dollar_per_capita,cluster
2014,724,ESP,0.884,11.44,3
2018,724,ESP,0.899,10.29,3
2019,724,ESP,0.904,10.67,3
2020,724,ESP,0.894,11.68,3
2013,233,EST,0.881,93.46,3
2014,233,EST,0.879,86.95,3
2015,233,EST,0.883,120.59,3
2016,233,EST,0.884,89.33,3
2017,233,EST,0.886,130.79,0
2018,233,EST,0.89,94.17,3
2019,233,EST,0.893,166.23,0
2020,233,EST,0.891,183.77,0
2013,246,FIN,0.926,32.0,3
2014,246,FIN,0.928,38.9,3
2015,246,FIN,0.93,29.72,3
2016,246,FIN,0.931,23.93,3
2017,246,FIN,0.934,22.41,3
2018,246,FIN,0.936,17.17,3
2019,246,FIN,0.939,24.36,3
2020,246,FIN,0.939,28.99,3
2013,251,FRA,0.888,164.58,0
2014,251,FRA,0.892,135.28,0
2015,251,FRA,0.893,120.07,3
2016,251,FRA,0.896,93.02,3
2017,251,FRA,0.899,83.58,3
2018,251,FRA,0.903,108.46,3
2019,251,FRA,0.905,109.91,3
2020,251,FRA,0.9,115.33,3
2014,826,GBR,0.924,10.87,3
2015,826,GBR,0.923,13.21,3
2016,826,GBR,0.926,14.4,3
2019,826,GBR,0.933,11.12,3
2013,268,GEO,0.784,16.69,1
2013,300,GRC,0.874,14.1,3
2014,300,GRC,0.879,21.61,3
2015,300,GRC,0.881,11.31,3
2016,300,GRC,0.877,20.59,3
2017,300,GRC,0.88,13.07,3
2018,300,GRC,0.886,14.6,3
2019,300,GRC,0.89,13.37,3
2020,300,GRC,0.887,15.66,3
2013,328,GUY,0.674,318.71,0
2014,328,GUY,0.682,328.34,0
2015,328,GUY,0.686,289.38,0
2016,328,GUY,0.693,221.75,0
2017,328,GUY,0.699,245.14,0
2018,328,GUY,0.704,238.09,0
2019,328,GUY,0.711,277.86,0
2013,191,HRV,0.839,34.94,3
2014,191,HRV,0.842,30.59,3
2015,191,HRV,0.844,37.72,3
2016,191,HRV,0.85,40.4,3
2017,191,HRV,0.855,43.19,3
2018,191,HRV,0.86,55.91,3
2019,191,HRV,0.866,60.09,3
2020,191,HRV,0.86,93.83,3
2013,348,HUN,0.843,176.02,0
2014,348,HUN,0.84,164.86,0
2015,348,HUN,0.839,158.75,0
2016,348,HUN,0.843,134.81,0
2017,348,HUN,0.846,177.38,0
2018,348,HUN,0.85,141.43,0
2019,348,HUN,0.854,154.17,0
2020,348,HUN,0.849,189.18,0
2013,380,ITA,0.88,13.41,3
2014,380,ITA,0.882,15.16,3
2015,380,ITA,0.881,15.15,3
2016,380,ITA,0.886,12.96,3
2017,380,ITA,0.889,14.18,3
2018,380,ITA,0.894,12.3,3
2019,380,ITA,0.899,12.08,3
2020,380,ITA,0.892,14.0,3
2013,398,KAZ,0.789,76.22,1
2014,398,KAZ,0.794,63.71,1
2015,398,KAZ,0.799,46.04,1
2016,398,KAZ,0.797,44.49,1
2017,398,KAZ,0.802,44.38,1
2018,398,KAZ,0.804,68.9,1
2019,398,KAZ,0.81,70.16,1
2020,398,KAZ,0.806,70.35,1
2013,116,KHM,0.554,16.66,2
2014,116,KHM,0.559,15.08,2
2015,116,KHM,0.564,18.28,2
2016,116,KHM,0.573,19.34,2
2017,116,KHM,0.581,21.26,2
2018,116,KHM,0.588,25.27,2
2019,116,KHM,0.596,25.59,2
2020,116,KHM,0.596,28.17,2
2013,418,LAO,0.587,13.41,2
2015,418,LAO,0.604,11.74,2
2017,418,LAO,0.612,11.1,2
2020,418,LAO,0.616,12.28,2
2013,440,LTU,0.858,254.07,0
2014,440,LTU,0.864,265.29,0
2015,440,LTU,0.865,227.14,0
2016,440,LTU,0.87,228.43,0
2017,440,LTU,0.878,246.51,0
2018,440,LTU,0.882,175.12,0
2019,440,LTU,0.886,294.84,0
2020,440,LTU,0.88,398.88,0
2013,442,LUX,0.922,30.24,3
2014,442,LUX,0.927,32.65,3
2015,442,LUX,0.914,33.73,3
2016,442,LUX,0.922,28.76,3
2017,442,LUX,0.918,22.84,3
2018,442,LUX,0.921,37.72,3
2019,442,LUX,0.925,31.13,3
2020,442,LUX,0.921,30.77,3
2013,428,LVA,0.846,199.23,0
2014,428,LVA,0.85,209.38,0
2015,428,LVA,0.853,232.22,0
2016,428,LVA,0.858,227.83,0
2017,428,LVA,0.863,239.2,0
2018,428,LVA,0.868,222.0,0
2019,428,LVA,0.873,303.5,0
2020,428,LVA,0.873,390.55,0
2013,498,MDA,0.726,42.23,1
2014,498,MDA,0.749,63.42,1
2015,498,MDA,0.749,40.15,1
2016,498,MDA,0.755,56.43,1
2017,498,MDA,0.764,66.39,1
2018,498,MDA,0.767,82.25,1
2019,498,MDA,0.773,87.13,1
2020,498,MDA,0.765,42.86,1
2013,470,MLT,0.874,40.3,3
2015,470,MLT,0.887,42.32,3
2016,470,MLT,0.887,13.24,3
2017,470,MLT,0.896,32.34,3
2013,104,MMR,0.538,14.71,2
2014,104,MMR,0.548,19.5,2
2015,104,MMR,0.557,18.74,2
2016,104,MMR,0.567,12.91,2
2017,104,MMR,0.58,25.78,2
2018,104,MMR,0.595,21.19,2
2019,104,MMR,0.608,19.43,2
2020,104,MMR,0.615,21.89,2
2013,528,NLD,0.929,44.33,3
2014,528,NLD,0.931,45.0,3
2015,528,NLD,0.932,31.51,3
2016,528,NLD,0.933,28.66,3
2017,528,NLD,0.936,32.05,3
2018,528,NLD,0.939,41.03,3
2019,528,NLD,0.941,40.55,3
2020,528,NLD,0.938,37.29,3
2016,512,OMN,0.832,13.22,3
2013,586,PAK,0.51,10.33,2
2014,586,PAK,0.519,10.32,2
2018,586,PAK,0.535,10.25,2
2019,586,PAK,0.537,10.26,2
2013,616,POL,0.865,29.28,3
2014,616,POL,0.867,35.12,3
2015,616,POL,0.869,33.23,3
2016,616,POL,0.872,30.64,3
2017,616,POL,0.874,24.95,3
2018,616,POL,0.876,25.3,3
2019,616,POL,0.88,24.25,3
2020,616,POL,0.874,52.01,3
2018,620,PRT,0.858,13.35,3
2019,620,PRT,0.864,10.43,3
2013,600,PRY,0.729,129.75,1
2014,600,PRY,0.731,101.27,1
2015,600,PRY,0.738,118.12,1
2016,600,PRY,0.736,109.42,1
2017,600,PRY,0.739,78.75,1
2018,600,PRY,0.742,81.89,1
2019,600,PRY,0.746,109.05,1
2020,600,PRY,0.742,102.89,1
2013,642,ROU,0.811,132.66,0
2014,642,ROU,0.811,132.54,0
2015,642,ROU,0.813,112.33,1
2016,642,ROU,0.815,118.09,1
2017,642,ROU,0.823,114.72,1
2018,642,ROU,0.829,130.87,0
2019,642,ROU,0.834,149.57,0
2020,642,ROU,0.828,126.99,0
2013,643,RUS,0.816,33.05,1
2014,643,RUS,0.818,49.13,1
2015,643,RUS,0.823,39.08,1
2016,643,RUS,0.826,38.67,1
2017,643,RUS,0.827,51.56,1
2018,643,RUS,0.836,71.92,1
2019,643,RUS,0.839,54.51,3
2020,643,RUS,0.826,64.31,1
2013,702,SGP,0.93,13.04,3
2014,702,SGP,0.932,15.54,3
2015,702,SGP,0.935,11.5,3
2013,688,SRB,0.785,67.93,1
2014,688,SRB,0.787,84.84,1
2015,688,SRB,0.794,68.56,1
2016,688,SRB,0.8,72.62,1
2017,688,SRB,0.802,54.87,1
2018,688,SRB,0.808,70.61,1
2019,688,SRB,0.812,90.5,1
2020,688,SRB,0.806,114.54,1
2013,740,SUR,0.7,69.7,1
2014,740,SUR,0.701,89.8,1
2015,740,SUR,0.707,17.77,1
2016,740,SUR,0.709,28.62,1
2017,740,SUR,0.71,51.14,1
2018,740,SUR,0.714,28.62,1
2019,740,SUR,0.71,38.03,1
2020,740,SUR,0.702,44.77,1
2013,703,SVK,0.849,63.57,3
2014,703,SVK,0.851,70.75,3
2015,703,SVK,0.852,69.71,3
2016,703,SVK,0.855,71.4,3
2017,703,SVK,0.857,70.77,3
2018,703,SVK,0.86,60.58,3
2019,703,SVK,0.863,58.82,3
2020,703,SVK,0.86,84.8,3
2013,705,SVN,0.901,21.81,3
2014,705,SVN,0.903,17.68,3
2015,705,SVN,0.903,19.08,3
2016,705,SVN,0.909,18.66,3
2017,705,SVN,0.912,28.26,3
2018,705,SVN,0.916,29.54,3
2019,705,SVN,0.918,32.91,3
2020,705,SVN,0.91,38.59,3
2013,752,SWE,0.932,27.16,3
2014,752,SWE,0.935,44.34,3
2015,752,SWE,0.937,41.26,3
2016,752,SWE,0.939,34.6,3
2017,752,SWE,0.941,29.65,3
2018,752,SWE,0.943,20.7,3
2019,752,SWE,0.947,22.18,3
2020,752,SWE,0.944,38.2,3
2013,764,THA,0.754,66.23,1
2014,764,THA,0.785,81.6,1
2015,764,THA,0.789,66.8,1
2016,764,THA,0.793,65.05,1
2017,764,THA,0.795,75.61,1
2018,764,THA,0.796,80.53,1
2019,764,THA,0.801,59.91,1
2020,764,THA,0.8,53.17,1
2013,804,UKR,0.774,138.13,1
2014,804,UKR,0.774,142.35,1
2015,804,UKR,0.764,132.3,1
2016,804,UKR,0.767,133.15,1
2017,804,UKR,0.771,143.1,1
2018,804,UKR,0.771,160.16,0
2019,804,UKR,0.774,214.28,0
2020,804,UKR,0.762,210.78,0
2013,858,URY,0.802,266.96,0
2014,858,URY,0.805,258.23,0
2015,858,URY,0.807,149.85,0
2016,858,URY,0.811,160.74,0
2017,858,URY,0.815,155.6,0
2018,858,URY,0.815,120.53,1
2019,858,URY,0.818,135.31,0
2020,858,URY,0.82,164.39,0
2013,842,USA,0.922,64.1,3
2014,842,USA,0.923,71.57,3
2015,842,USA,0.924,58.42,3
2016,842,USA,0.926,58.39,3
2017,842,USA,0.928,56.93,3
2018,842,USA,0.93,64.01,3
2019,842,USA,0.933,51.12,3
2020,842,USA,0.923,58.34,3
2013,670,VCT,0.766,34.17,1
2014,670,VCT,0.772,30.49,1
2015,670,VCT,0.777,27.87,1
2016,670,VCT,0.783,23.0,1
2017,670,VCT,0.789,22.33,1
2018,670,VCT,0.793,14.96,1
2013,704,VNM,0.689,32.45,1
2014,704,VNM,0.693,32.38,1
2015,704,VNM,0.697,30.43,1
2016,704,VNM,0.702,23.2,1
2017,704,VNM,0.706,27.98,1
2018,704,VNM,0.711,27.83,1
2019,704,VNM,0.717,25.71,1
2020,704,VNM,0.726,29.88,1
2013,710,ZAF,0.705,17.21,1
2014,710,ZAF,0.714,14.46,1
2017,710,ZAF,0.725,10.09,1
2020,710,ZAF,0.722,11.62,1
2013,894,ZMB,0.554,10.5,2
2015,894,ZMB,0.563,13.4,2
2016,894,ZMB,0.564,11.31,2
